SRR6468499	SRR6468500	SRR6468503	SRR6468504	SRR6468505	SRR6468506	SRR6468508	SRR6468509	SRR6468510	SRR6468512	SRR6468513	SRR6468514	SRR6468515	SRR6468516	SRR6468517	SRR6468518	SRR6468519	SRR6468520	SRR6468522	SRR6468523	SRR6468525	SRR6468526	SRR6468527	SRR6468528	SRR6468530	SRR6468532	SRR6468533	SRR6468536	SRR6468537	SRR6468538	SRR6468540	SRR6468541	SRR6468542	SRR6468544	SRR6468546	SRR6468547	SRR6468548	SRR6468551	SRR6468555	SRR6468556	SRR6468557	SRR6468559	SRR6468560	SRR6468561	SRR6468565	SRR6468566	SRR6468570	SRR6468571	SRR6468572	SRR6468574	SRR6468575	SRR6468576	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468582	SRR6468583	SRR6468584	SRR6468585	SRR6468588	SRR6468590	SRR6468592	SRR6468593	SRR6468594	SRR6468597	SRR6468599	SRR6468600	SRR6468601	SRR6468603	SRR6468604	SRR6468605	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468611	SRR6468612	SRR6468613	SRR6468614	SRR6468615	SRR6468616	SRR6468617	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468625	SRR6468626	SRR6468627	SRR6468628	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468634	SRR6468635	SRR6468636	SRR6468637	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468651	SRR6468652	SRR6468653	SRR6468656	SRR6468657	SRR6468659	SRR6468660	SRR6468666	SRR6468667	SRR6468668	SRR6468670	SRR6468673	SRR6468674	SRR6468676	SRR6468677	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468682	SRR6468683	SRR6468685	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468691	SRR6468693	SRR6468694	SRR6468697	SRR6468698	SRR6468699	SRR6468700	SRR6468701	SRR6468704	SRR6468705	SRR6468706	SRR6468707	SRR6468708	SRR6468709	SRR6468711	SRR6468714	SRR6468715	SRR6468716	SRR6468717	SRR6468718
SRR6468499	1	0.63486185669899	0.697162181138992	0.683851838111877	0.664991647005081	0.669432401657104	0.694687396287918	0.660615503787994	0.772418305277824	0.558105647563934	0.659365028142929	0.677463799715042	0.656851589679718	0.565497666597366	0.727488785982132	0.675810754299164	0.706855654716492	0.706125319004059	0.654768198728561	0.643726944923401	0.560951322317123	0.557960361242294	0.557415664196014	0.668418079614639	0.659580618143082	0.675040781497955	0.706463038921356	0.752800032496452	0.643541187047958	0.689275860786438	0.633707374334335	0.7138931453228	0.713702082633972	0.734686464071274	0.704588294029236	0.699167877435684	0.559475064277649	0.590734928846359	0.642367273569107	0.655605852603912	0.638480812311172	0.650399059057236	0.566526353359222	0.631289780139923	0.596544444561005	0.759789571166039	0.670001477003098	0.711926937103271	0.639098167419434	0.558992505073547	0.68627205491066	0.752784594893456	0.703258723020554	0.779059708118439	0.652352094650269	0.557703852653503	0.651808679103851	0.646237134933472	0.684475630521774	0.649348169565201	0.634907960891724	0.695257991552353	0.652770072221756	0.7123983502388	0.556429475545883	0.788916021585464	0.645601898431778	0.714402407407761	0.628254324197769	0.701154351234436	0.757621079683304	0.557400107383728	0.637306302785873	0.714118659496307	0.664310246706009	0.678037405014038	0.661389201879501	0.822207301855087	0.650407940149307	0.648161828517914	0.664182245731354	0.637863904237747	0.583215177059174	0.647711604833603	0.630306780338287	0.639123827219009	0.689006388187408	0.680635511875153	0.560451954603195	0.664485156536102	0.756086409091949	0.719931036233902	0.822217658162117	0.646195352077484	0.717945665121078	0.648307979106903	0.673277109861374	0.721994400024414	0.622226655483246	0.690740913152695	0.652210086584091	0.710084587335587	0.690634548664093	0.677585333585739	0.754768252372742	0.679255723953247	0.688615888357162	0.648319363594055	0.698215126991272	0.705295652151108	0.68830195069313	0.807903781533241	0.667092561721802	0.77009691298008	0.660849958658218	0.670518279075623	0.834428951144218	0.657294601202011	0.690077781677246	0.557662516832352	0.625516772270203	0.563189953565598	0.6803839802742	0.561961024999619	0.655456840991974	0.646807789802551	0.658084064722061	0.706256717443466	0.67013743519783	0.561075329780579	0.582205653190613	0.634726017713547	0.724231749773026	0.761922478675842	0.815130919218063	0.64342525601387	0.633599281311035	0.645267277956009	0.702172696590424	0.673648864030838	0.559167385101318	0.651593267917633	0.561236441135406	0.562702924013138	0.646383136510849	0.651020079851151	0.703274458646774	0.654344707727432	0.689182847738266	0.78802578151226	0.652673542499542	0.637145340442657	0.684581011533737	0.621623814105988	0.689923673868179	0.668995410203934	0.694899499416351
SRR6468500	0.63486185669899	1	0.442383527755737	0.4189493060112	0.379792749881744	0.392729461193085	0.405825674533844	0.376621127128601	0.742722630500793	0.869627222418785	0.38292932510376	0.425810873508453	0.38245689868927	0.863261207938194	0.496414542198181	0.386070609092712	0.432123482227325	0.441584348678589	0.37334817647934	0.378010392189026	0.874742954969406	0.871116071939468	0.871959716081619	0.394649505615234	0.380806148052216	0.396794736385345	0.779009059071541	0.58664545416832	0.377245903015137	0.432901859283447	0.377955317497253	0.440570533275604	0.769166737794876	0.635071456432343	0.417601644992828	0.429679214954376	0.874020010232925	0.860167145729065	0.821336552500725	0.39898157119751	0.374219238758087	0.36605316400528	0.869821026921272	0.359971046447754	0.87378117442131	0.57273080945015	0.393420219421387	0.432657063007355	0.389431774616241	0.871192306280136	0.398265779018402	0.66831710934639	0.481830358505249	0.609729826450348	0.372168958187103	0.87144772708416	0.369296073913574	0.378332674503326	0.41977059841156	0.36799019575119	0.833047941327095	0.404674291610718	0.379601001739502	0.478127181529999	0.882591784000397	0.707546770572662	0.37458336353302	0.519519805908203	0.364696383476257	0.442227125167847	0.517950624227524	0.869535833597183	0.400270998477936	0.434279978275299	0.396244406700134	0.414906024932861	0.384132862091064	0.656561404466629	0.380880355834961	0.366766214370728	0.393734157085419	0.376269519329071	0.864790320396423	0.372486650943756	0.360487461090088	0.376150727272034	0.423072636127472	0.391424655914307	0.872639894485474	0.386920869350433	0.732802271842957	0.463229537010193	0.585773468017578	0.36741304397583	0.447433412075043	0.37433922290802	0.387653470039368	0.447133004665375	0.847329065203667	0.45599502325058	0.368582367897034	0.446480333805084	0.442074060440063	0.406474649906158	0.522074222564697	0.409385979175568	0.406272649765015	0.792417660355568	0.418389022350311	0.42131233215332	0.764555677771568	0.589346766471863	0.401186585426331	0.704879194498062	0.395272374153137	0.398566246032715	0.64188951253891	0.391706645488739	0.453731417655945	0.868170440196991	0.368276298046112	0.875338412821293	0.406850039958954	0.872200295329094	0.392677068710327	0.373790979385376	0.386758744716644	0.411521852016449	0.398310303688049	0.881871126592159	0.856208384037018	0.36393404006958	0.528065860271454	0.545114278793335	0.621259272098541	0.36859929561615	0.36290717124939	0.367006063461304	0.421281635761261	0.384804606437683	0.871461942791939	0.376037061214447	0.875159189105034	0.873928338289261	0.364060640335083	0.379951119422913	0.423513770103455	0.368099749088287	0.404613256454468	0.732432872056961	0.365284860134125	0.382867753505707	0.782233715057373	0.842351526021957	0.416651427745819	0.402948021888733	0.404072523117065
SRR6468503	0.697162181138992	0.442383527755737	1	0.94731904566288	0.892306603491306	0.909539580345154	0.890528872609138	0.899272635579109	0.575432330369949	0.312589943408966	0.87694688141346	0.906260289251804	0.869626939296722	0.328896045684814	0.868978902697563	0.892300337553024	0.897089667618275	0.857934519648552	0.886052951216698	0.87072342634201	0.321937263011932	0.312030375003815	0.307428479194641	0.882647700607777	0.884985886514187	0.908356741070747	0.497504413127899	0.738108992576599	0.87926173210144	0.878858044743538	0.913328759372234	0.916813924908638	0.502743929624557	0.764195382595062	0.891402773559093	0.903572842478752	0.310478091239929	0.364564001560211	0.441235184669495	0.903654024004936	0.900705099105835	0.887383840978146	0.320172607898712	0.868357554078102	0.323391616344452	0.72560253739357	0.877095021307468	0.898439586162567	0.91617214679718	0.316365718841553	0.883143991231918	0.648123860359192	0.899001829326153	0.720008939504623	0.884321309626102	0.312018930912018	0.893887937068939	0.884044118225574	0.913012705743313	0.882623679935932	0.40486615896225	0.893321625888348	0.891444496810436	0.909699223935604	0.303580939769745	0.596214979887009	0.940088700503111	0.925253674387932	0.864034563302994	0.877453677356243	0.789511546492577	0.31048583984375	0.859288066625595	0.912295110523701	0.884604573249817	0.872477844357491	0.880805395543575	0.65503191947937	0.909569762647152	0.895980700850487	0.903847269713879	0.904794439673424	0.34182333946228	0.887550637125969	0.877722464501858	0.898791536688805	0.881010994315147	0.890067063271999	0.314896881580353	0.890312112867832	0.600846290588379	0.850043952465057	0.727078467607498	0.87563318759203	0.883558228611946	0.885101966559887	0.90568795055151	0.848751023411751	0.38102513551712	0.838890910148621	0.892530664801598	0.925689846277237	0.915517628192902	0.891175046563148	0.833803489804268	0.912725508213043	0.893758840858936	0.577310055494308	0.897773414850235	0.900639668107033	0.589778333902359	0.733686476945877	0.867530465126038	0.586394906044006	0.869432777166367	0.872988417744637	0.677578419446945	0.910276383161545	0.834185659885406	0.312382698059082	0.864729985594749	0.323384344577789	0.882194966077805	0.317254304885864	0.915655963122845	0.884219974279404	0.870177760720253	0.911460347473621	0.884766288101673	0.31400340795517	0.340907692909241	0.880011014640331	0.796319276094437	0.757340878248215	0.687372416257858	0.879954926669598	0.876489251852036	0.889644488692284	0.895490124821663	0.886621586978436	0.314449191093445	0.878752194344997	0.310444951057434	0.319799900054932	0.895085453987122	0.902989596128464	0.887975804507732	0.880477227270603	0.883756622672081	0.574046224355698	0.88645251095295	0.902532003819942	0.560471951961517	0.392050087451935	0.897979378700256	0.862828865647316	0.895853079855442
SRR6468504	0.683851838111877	0.4189493060112	0.94731904566288	1	0.891994774341583	0.911601074039936	0.887425474822521	0.900711715221405	0.560876816511154	0.296720027923584	0.887567773461342	0.922643333673477	0.876826904714108	0.306959271430969	0.855768650770187	0.890745006501675	0.895139791071415	0.861908599734306	0.889771230518818	0.875209309160709	0.298066020011902	0.296456694602966	0.288106024265289	0.885425582528114	0.893316842615604	0.909926824271679	0.482625305652618	0.728432953357697	0.881844997406006	0.881602548062801	0.929147437214851	0.915902577340603	0.488677442073822	0.758061274886131	0.887662954628468	0.905684188008308	0.289453089237213	0.34238874912262	0.423807621002197	0.910555295646191	0.913750827312469	0.886473126709461	0.303617537021637	0.877184443175793	0.305333733558655	0.722628861665726	0.88944723457098	0.907155886292458	0.922830805182457	0.299220442771912	0.887118570506573	0.642674654722214	0.900116182863712	0.715827196836472	0.890214204788208	0.291833162307739	0.895067051053047	0.890445426106453	0.902839623391628	0.88613710552454	0.390231490135193	0.895069189369678	0.899667412042618	0.896884672343731	0.282784819602966	0.585909098386765	0.972785817459226	0.969094935804605	0.868911758065224	0.88774861395359	0.786866843700409	0.293394386768341	0.861324355006218	0.920625537633896	0.889664880931377	0.876209624111652	0.883920952677727	0.643678992986679	0.920539446175098	0.899708032608032	0.91149827092886	0.915584020316601	0.321279048919678	0.890559956431389	0.887579917907715	0.908368892967701	0.886630013585091	0.889416091144085	0.299440503120422	0.900174871087074	0.589394241571426	0.853418618440628	0.718453764915466	0.878806971013546	0.896950326859951	0.888684131205082	0.904210239648819	0.846202373504639	0.365645468235016	0.840208351612091	0.893952250480652	0.922595858573914	0.917936079204082	0.896668337285519	0.852289572358131	0.920165114104748	0.896694719791412	0.556827425956726	0.896134987473488	0.90134809166193	0.576030552387238	0.725912153720856	0.87299956381321	0.580076098442078	0.871445223689079	0.877886220812798	0.666845589876175	0.917496740818024	0.83237336575985	0.292186439037323	0.869272902607918	0.300516664981842	0.889050886034966	0.294088959693909	0.933057725429535	0.897990740835667	0.875436939299107	0.912389121949673	0.888752855360508	0.292332530021667	0.321951627731323	0.88579685986042	0.797695994377136	0.754107311367989	0.680688202381134	0.889588125050068	0.885108456015587	0.892164804041386	0.899373322725296	0.885207667946815	0.295709073543549	0.88195139169693	0.292111575603485	0.302526354789734	0.898805491626263	0.902200266718864	0.889257617294788	0.883372932672501	0.878512524068356	0.562790483236313	0.883423335850239	0.908078238368034	0.562592029571533	0.371766448020935	0.899705916643143	0.8680739402771	0.890268184244633
SRR6468505	0.664991647005081	0.379792749881744	0.892306603491306	0.891994774341583	1	0.901379317045212	0.921486094594002	0.921883933246136	0.51694267988205	0.271320164203644	0.920680321753025	0.885497540235519	0.904010653495789	0.28390234708786	0.883195973932743	0.925724782049656	0.934077128767967	0.869851961731911	0.937933929264545	0.905660644173622	0.280608057975769	0.270123958587646	0.267908751964569	0.914350315928459	0.911221906542778	0.910458199679852	0.451509118080139	0.733743757009506	0.900013983249664	0.901590824127197	0.885406732559204	0.930105783045292	0.471194386482239	0.77544566988945	0.940385550260544	0.917878568172455	0.26891303062439	0.315497994422913	0.401143014431	0.885094165802002	0.892137445509434	0.930859051644802	0.282798171043396	0.888852894306183	0.284647524356842	0.700544238090515	0.908964104950428	0.927281573414803	0.8883366137743	0.273836255073547	0.913914754986763	0.631684809923172	0.862995788455009	0.690952599048615	0.931828178465366	0.272926330566406	0.936937250196934	0.918147429823875	0.907060146331787	0.93578228354454	0.358671903610229	0.9240398183465	0.901665635406971	0.887476772069931	0.265418112277985	0.56409278512001	0.894866235554218	0.850231781601906	0.889553248882294	0.90886177867651	0.802148088812828	0.270663321018219	0.878251813352108	0.921202786266804	0.897682465612888	0.886368967592716	0.933340691030025	0.621204078197479	0.911397576332092	0.928636565804482	0.897524192929268	0.890385121107101	0.29670661687851	0.92000424861908	0.911713935434818	0.90376715362072	0.912938192486763	0.921414352953434	0.274803757667542	0.912023715674877	0.544666230678558	0.881545186042786	0.745842039585114	0.906271152198315	0.923802830278873	0.915331967175007	0.949430845677853	0.862253203988075	0.354593932628632	0.856812089681625	0.923995994031429	0.924534574151039	0.889657944440842	0.909707337617874	0.775389209389687	0.901496015489101	0.919096358120441	0.490559160709381	0.922345466911793	0.922338373959064	0.552695870399475	0.71552300453186	0.888690918684006	0.575802564620972	0.886004939675331	0.89191822707653	0.650290668010712	0.89780992269516	0.887420952320099	0.27202969789505	0.888250812888145	0.277034103870392	0.912482798099518	0.268715858459473	0.891713753342628	0.912618577480316	0.886128976941109	0.931601919233799	0.899702742695808	0.271292328834534	0.299550950527191	0.935289531946182	0.802819207310677	0.750443905591965	0.667663097381592	0.921486012637615	0.914059236645699	0.926296137273312	0.929789334535599	0.919898465275764	0.273630499839783	0.927684403955936	0.273495137691498	0.282280325889587	0.925647057592869	0.905847959220409	0.926721453666687	0.915940508246422	0.916649430990219	0.544523537158966	0.92507691681385	0.886082157492638	0.483886063098907	0.341902434825897	0.932087011635303	0.878213211894035	0.930438362061977
SRR6468506	0.669432401657104	0.392729461193085	0.909539580345154	0.911601074039936	0.901379317045212	1	0.891508191823959	0.902877889573574	0.545028120279312	0.276137471199036	0.890001185238361	0.900543592870235	0.878709904849529	0.289478123188019	0.852333679795265	0.898867927491665	0.90225425362587	0.857315942645073	0.899836301803589	0.880557432770729	0.286310911178589	0.275572419166565	0.271341383457184	0.891144514083862	0.89504849165678	0.917552269995213	0.453895330429077	0.719017416238785	0.883516184985638	0.873816311359406	0.907932095229626	0.917075447738171	0.467978656291962	0.752736240625381	0.899219565093517	0.905410051345825	0.272500932216644	0.328746378421783	0.398917317390442	0.902126304805279	0.901669032871723	0.900237821042538	0.286840319633484	0.875980377197266	0.288954317569733	0.698681473731995	0.883247710764408	0.906078599393368	0.906128726899624	0.279819190502167	0.891449995338917	0.621946305036545	0.885680228471756	0.695780277252197	0.897270791232586	0.275119781494141	0.899227872490883	0.892709545791149	0.904730103909969	0.894855365157127	0.362072706222534	0.89977602660656	0.899743303656578	0.90052618086338	0.27088850736618	0.563291043043137	0.915975823998451	0.873580202460289	0.873236447572708	0.877491414546967	0.776804730296135	0.274173438549042	0.858150944113731	0.917268611490726	0.888122588396072	0.872082844376564	0.888601370155811	0.626684993505478	0.906333103775978	0.902835063636303	0.910448357462883	0.90995804220438	0.301675260066986	0.895167261362076	0.88147209584713	0.903569243848324	0.880956172943115	0.893074110150337	0.274470508098602	0.895833492279053	0.559632509946823	0.851700261235237	0.701989024877548	0.886205747723579	0.894839160144329	0.893170043826103	0.91606081277132	0.852090105414391	0.34596198797226	0.826076686382294	0.896062076091766	0.921114236116409	0.909732684493065	0.894165977835655	0.795308321714401	0.913922019302845	0.901426047086716	0.506016910076141	0.901454351842403	0.900584362447262	0.549657106399536	0.711132764816284	0.870821803808212	0.544783920049667	0.872535020112991	0.876387104392052	0.64418688416481	0.919107332825661	0.823033437132835	0.27543580532074	0.872128874063492	0.281620562076569	0.88579074293375	0.276576638221741	0.916810289025307	0.893976464867592	0.873394414782524	0.923828594386578	0.888951815664768	0.27768462896347	0.300821781158447	0.888312332332134	0.765453323721886	0.747492164373398	0.67005330324173	0.891215145587921	0.885656915605068	0.896133653819561	0.899373948574066	0.89001951366663	0.275042831897736	0.886681944131851	0.275616645812988	0.283530831336975	0.901304475963116	0.906178750097752	0.88752194494009	0.896630331873894	0.889413550496101	0.545546114444733	0.893312886357307	0.901717349886894	0.504256695508957	0.347628593444824	0.898926168680191	0.861954122781754	0.900463975965977
SRR6468508	0.694687396287918	0.405825674533844	0.890528872609138	0.887425474822521	0.921486094594002	0.891508191823959	1	0.924582257866859	0.541272878646851	0.2893106341362	0.897584706544876	0.888706065714359	0.885926440358162	0.299246370792389	0.950856145471334	0.922478564083576	0.931619130074978	0.870362728834152	0.912463903427124	0.888003908097744	0.294892907142639	0.28789097070694	0.284217715263367	0.910261243581772	0.904862724244595	0.900786206126213	0.480249285697937	0.734611183404922	0.88944797962904	0.888906136155128	0.882495909929276	0.928774356842041	0.486659407615662	0.790400415658951	0.924786359071732	0.894822672009468	0.285263478755951	0.336757779121399	0.419712543487549	0.883974321186543	0.886196866631508	0.916045054793358	0.299250900745392	0.879072651267052	0.300406336784363	0.719596356153488	0.896321520209312	0.925547935068607	0.883955836296082	0.291514813899994	0.901986338198185	0.644754022359848	0.859891891479492	0.701422601938248	0.912592574954033	0.290314495563507	0.92545622587204	0.905858442187309	0.899341151118279	0.918645426630974	0.383790016174316	0.926695562899113	0.901619665324688	0.892118893563747	0.28143721818924	0.590372413396835	0.887966208159924	0.846384271979332	0.881125278770924	0.893848188221455	0.815469294786453	0.286379933357239	0.870263710618019	0.918342784047127	0.887603245675564	0.88373564183712	0.908144235610962	0.643335402011871	0.891403645277023	0.925325021147728	0.887581698596478	0.883598387241364	0.314854502677917	0.904704913496971	0.897536583244801	0.893990941345692	0.902358017861843	0.979981131851673	0.291530966758728	0.906657733023167	0.576037675142288	0.876171380281448	0.740797936916351	0.908854283392429	0.925289519131184	0.899173267185688	0.914917558431625	0.868931666016579	0.372955679893494	0.854550510644913	0.940998788923025	0.913708195090294	0.892886392772198	0.88809185475111	0.781288310885429	0.892583176493645	0.899628862738609	0.509416610002518	0.927813552320004	0.913744069635868	0.567262977361679	0.735484629869461	0.886506326496601	0.570527613162994	0.88073568791151	0.885415986180305	0.677293598651886	0.898500725626945	0.863334000110626	0.287718415260315	0.877048455178738	0.29419219493866	0.899637907743454	0.288518667221069	0.891000933945179	0.905640132725239	0.879802100360394	0.919302046298981	0.89576843380928	0.28827840089798	0.318337738513947	0.906769521534443	0.778468400239944	0.764723062515259	0.681149989366531	0.909996949136257	0.899480499327183	0.930625483393669	0.919195130467415	0.98384609632194	0.289980530738831	0.905623823404312	0.287561893463135	0.299011051654816	0.948835369199514	0.912299335002899	0.921106770634651	0.914772056043148	0.91407685726881	0.562991738319397	0.98585117701441	0.880995787680149	0.507644087076187	0.36411714553833	0.906846277415752	0.872964888811111	0.921071663498878
SRR6468509	0.660615503787994	0.376621127128601	0.899272635579109	0.900711715221405	0.921883933246136	0.902877889573574	0.924582257866859	1	0.506964862346649	0.26364666223526	0.897592686116695	0.892808578908443	0.88637762516737	0.275551974773407	0.887292094528675	0.923054829239845	0.93313617259264	0.858835846185684	0.914407968521118	0.888270609080791	0.273402333259583	0.261854231357574	0.257806360721588	0.902814269065857	0.897410921752453	0.901925228536129	0.440638780593872	0.713323533535004	0.897320091724396	0.882985129952431	0.89534642547369	0.933720774948597	0.449273526668549	0.760721206665039	0.924165971577168	0.897344335913658	0.25871479511261	0.311043858528137	0.385290443897247	0.888617172837257	0.89821445941925	0.918140649795532	0.273727297782898	0.88581407815218	0.274766325950623	0.694379538297653	0.897272944450378	0.918057940900326	0.888082437217236	0.264708459377289	0.90855984389782	0.614942610263824	0.859077990055084	0.677416533231735	0.913359276950359	0.262740731239319	0.93078089505434	0.904304951429367	0.896468676626682	0.921895414590836	0.350157499313354	0.935867413878441	0.899595029652119	0.886604838073254	0.258497595787048	0.554902851581573	0.904622502624989	0.857853651046753	0.884041212499142	0.90056985616684	0.795871242880821	0.262000977993011	0.876561731100082	0.912683494389057	0.893539749085903	0.880426444113255	0.902746878564358	0.611322969198227	0.897589564323425	0.945314813405275	0.897933319211006	0.89914021641016	0.289961278438568	0.908316642045975	0.906197257339954	0.897800460457802	0.902613334357738	0.921004511415958	0.262338399887085	0.911010250449181	0.541433364152908	0.866325363516808	0.71092301607132	0.896592505276203	0.914825707674026	0.90493044257164	0.913744539022446	0.868028625845909	0.334525465965271	0.839883208274841	0.928268007934093	0.917717702686787	0.897070579230785	0.888958267867565	0.772768676280975	0.901446476578712	0.899502262473106	0.485657453536987	0.935684949159622	0.91081253439188	0.543557643890381	0.704333573579788	0.88149706274271	0.532717436552048	0.881643079221249	0.886590972542763	0.644388407468796	0.900543086230755	0.843846380710602	0.262141108512878	0.88164085149765	0.268249928951263	0.901100620627403	0.263737857341766	0.900568217039108	0.901239335536957	0.882593214511871	0.916765995323658	0.895908258855343	0.264682650566101	0.288391470909119	0.905727319419384	0.752011969685555	0.742337703704834	0.654186338186264	0.909946106374264	0.902580961585045	0.922167293727398	0.924337275326252	0.924665242433548	0.263576567173004	0.903291568160057	0.262260794639587	0.273907959461212	0.951511047780514	0.907785162329674	0.915429823100567	0.909803926944733	0.914831146597862	0.535264402627945	0.928981088101864	0.889424458146095	0.488430738449097	0.3307284116745	0.905739597976208	0.871897965669632	0.924493879079819
SRR6468510	0.772418305277824	0.742722630500793	0.575432330369949	0.560876816511154	0.51694267988205	0.545028120279312	0.541272878646851	0.506964862346649	1	0.704316735267639	0.514604181051254	0.55281388759613	0.51835560798645	0.708870440721512	0.608975946903229	0.521857470273972	0.560550540685654	0.581822663545609	0.50733757019043	0.505841165781021	0.70697557926178	0.706214517354965	0.733462482690811	0.524529188871384	0.518034428358078	0.536281824111938	0.796812534332275	0.698078691959381	0.508098393678665	0.555952429771423	0.500975459814072	0.568548887968063	0.809669092297554	0.68823179602623	0.554088473320007	0.570426404476166	0.708375632762909	0.727630108594894	0.746264398097992	0.522602796554565	0.500462889671326	0.496811747550964	0.699628859758377	0.49040013551712	0.703070342540741	0.695716470479965	0.530692428350449	0.572382003068924	0.512334227561951	0.705814719200134	0.538949519395828	0.744940400123596	0.601429611444473	0.728885412216187	0.501210600137711	0.704015493392944	0.498997211456299	0.50135999917984	0.556092709302902	0.500825852155685	0.766839951276779	0.542717427015305	0.514253228902817	0.597200244665146	0.698185682296753	0.809142753481865	0.513910859823227	0.619627445936203	0.489709615707397	0.570758253335953	0.651339501142502	0.707558840513229	0.511058062314987	0.580832242965698	0.526491492986679	0.546383559703827	0.518714427947998	0.794658154249191	0.512657046318054	0.492646336555481	0.532613694667816	0.506318330764771	0.725909024477005	0.506205976009369	0.485389888286591	0.49967235326767	0.551482647657394	0.526587188243866	0.707291156053543	0.522540956735611	0.791422709822655	0.597362071275711	0.717377096414566	0.499269545078278	0.56138414144516	0.503863275051117	0.530965715646744	0.588150024414062	0.745403677225113	0.571128815412521	0.499949991703033	0.571048110723495	0.568108648061752	0.548870146274567	0.668953537940979	0.547289997339249	0.551416337490082	0.732625186443329	0.548484981060028	0.562082648277283	0.7353775203228	0.726424962282181	0.534215360879898	0.791985750198364	0.528014123439789	0.533185362815857	0.777231082320213	0.519296884536743	0.56842628121376	0.703486323356628	0.489030957221985	0.708689093589783	0.541903883218765	0.710346937179565	0.524898022413254	0.505052238702774	0.520395159721375	0.571917951107025	0.536012768745422	0.702293992042542	0.72469487786293	0.49025696516037	0.633871287107468	0.681685000658035	0.762496069073677	0.497659265995026	0.491105079650879	0.491488099098206	0.560953855514526	0.519709020853043	0.706739366054535	0.508277326822281	0.70751091837883	0.703257322311401	0.490410506725311	0.511175692081451	0.561189204454422	0.502476036548615	0.546264261007309	0.830349147319794	0.494777202606201	0.503199249505997	0.750642448663712	0.75617153942585	0.551807016134262	0.534538894891739	0.543835163116455
SRR6468512	0.558105647563934	0.869627222418785	0.312589943408966	0.296720027923584	0.271320164203644	0.276137471199036	0.2893106341362	0.26364666223526	0.704316735267639	1	0.277376890182495	0.305881917476654	0.27433043718338	0.927530661225319	0.389821529388428	0.275053262710571	0.300475656986237	0.335732877254486	0.267160654067993	0.27905935049057	0.934630483388901	0.999759038750199	0.943378504365683	0.28169584274292	0.269572973251343	0.278236210346222	0.773053541779518	0.512457668781281	0.272196888923645	0.314334630966187	0.264785349369049	0.306401968002319	0.758768513798714	0.563277423381805	0.300968825817108	0.311802566051483	0.94594644010067	0.922889374196529	0.844241693615913	0.278575539588928	0.261814475059509	0.259735345840454	0.927015453577042	0.258367478847504	0.926015406847	0.499924778938293	0.285328328609467	0.310102164745331	0.275179982185364	0.998977494542487	0.285658538341522	0.601209908723831	0.362139701843262	0.531221359968185	0.264383316040039	0.942938964813948	0.262944519519806	0.271667122840881	0.2994384765625	0.26161003112793	0.863096162676811	0.286226153373718	0.27101993560791	0.353334963321686	0.928198575973511	0.647444844245911	0.260729908943176	0.390199363231659	0.265961647033691	0.334325790405273	0.42545884847641	0.942418869584799	0.297756552696228	0.304538786411285	0.279010951519012	0.304816603660583	0.272823333740234	0.596425086259842	0.271692991256714	0.257075071334839	0.276268541812897	0.264036893844604	0.924877822399139	0.2669278383255	0.255604445934296	0.264491736888885	0.30777382850647	0.279904186725616	0.942299872636795	0.277786076068878	0.674965798854828	0.358966648578644	0.503042697906494	0.263730227947235	0.321658968925476	0.266710877418518	0.274887204170227	0.347786366939545	0.858447968959808	0.36078554391861	0.259533286094666	0.30872654914856	0.319239854812622	0.290949523448944	0.43670916557312	0.284303605556488	0.28891134262085	0.791205763816833	0.295827984809875	0.30347615480423	0.75502136349678	0.509600549936295	0.293496072292328	0.668353766202927	0.286832332611084	0.2846719622612	0.574963063001633	0.271757304668427	0.36168771982193	0.944769207388163	0.269342541694641	0.942778412252665	0.286193549633026	0.943128760904074	0.270543098449707	0.265411913394928	0.279008209705353	0.289264976978302	0.28125411272049	0.928062543272972	0.919854141771793	0.259033143520355	0.442755877971649	0.462601661682129	0.556846737861633	0.261846959590912	0.258559167385101	0.259222626686096	0.300227999687195	0.272041320800781	0.944904841482639	0.269185483455658	0.941119808703661	0.930584147572517	0.256319761276245	0.265516996383667	0.305472373962402	0.262970745563507	0.29427570104599	0.683773934841156	0.257473409175873	0.268088042736053	0.775487661361694	0.879838012158871	0.295892119407654	0.295761108398438	0.288067996501923
